inventory_quantity,orders_per_hour,demand_rate,warehouse_load,processing_time,backlog,order_delay
53,64,0.4813067083421356,0.3745193476488252,3.2584750165494234,2,40.52380892881187
314,13,2.039235895477595,0.730342160448495,4.528174882902418,50,46.35540730777656
268,69,2.6811910475264944,0.8134892162422507,1.5352395454298304,14,53.0480240162169
186,14,2.3899611768298006,0.33330891442277955,2.9408481541363316,49,34.28409932636636
184,9,1.0652755365052955,0.23508662673433278,3.428915710517133,39,32.71772981850018
346,14,0.5279802038400175,0.551669900241071,4.545609545775777,14,32.17113799001318
52,44,2.656843390091633,0.8192192687939497,5.804495409362091,32,59.81593669754188
284,57,2.6489505397112834,0.7206238684593143,5.165515514023603,2,53.424246808064666
96,39,1.6777967673108867,0.761505376331673,3.918351311264726,49,56.98875368856851
55,15,1.9415617880116844,0.5222714719946948,3.710023711591451,21,35.45546881467291
220,21,1.5102401457059398,0.3879564362024559,3.817526811899689,26,36.872813180131686
390,77,1.4074368810370208,0.6254230746276876,3.4984825346287556,10,51.55627312108902
299,86,0.6866762462288809,0.3634925549993575,0.8264958414240795,25,46.91165533191747
309,69,0.6322069560666305,0.7809829575880527,4.340630170235128,27,56.01493847820874
292,13,0.95855715202285,0.35757316476758166,4.439852400712816,15,31.29315459719823
318,74,2.4079377913757063,0.4330106133714732,3.3186419924686508,68,66.79380493284789
215,63,0.7499975217656321,0.6052358226584043,5.287131829713987,19,49.87937658234424
68,49,0.9440767645953058,0.5893679473147959,4.198402415161732,12,43.47607016671245
339,17,1.716673742373298,0.6806795011256235,2.494655618213593,38,35.56265899093708
191,89,0.9163149233878586,0.5499556803999336,0.6083189447924884,22,48.04867762015204
210,42,0.7916960433226891,0.9355786468080731,0.8253890557372404,31,40.604792969206734
160,8,1.7519589800751092,0.8719472753577506,2.4348904390298247,50,39.49758434298334
89,22,1.2834238503918771,0.9032907609893108,3.0415792885927555,5,34.8008766228144
372,39,1.9027822860171262,0.70361325712275,1.4177911572963378,35,39.25614282321347
316,10,2.589292816980823,0.7080063326886452,1.5413056853244766,1,21.868348396158176
264,32,0.7623835154441624,0.687358946972759,1.7661624732863497,3,32.55667119011191
172,44,2.592240783551353,0.547907323537165,4.7928233676695,6,42.97406441944978
332,85,2.5659759218150047,0.45768480085381014,4.742083125234743,11,58.26961285274034
227,12,2.3898102000061665,0.6736023099590962,2.6061644197757836,24,32.02492974061375
188,54,1.9150862015346046,0.22042546971076027,1.448004098714177,65,53.873358948893305
191,82,1.888351977917314,0.20596514513904243,1.1099961178490807,63,62.1942492903433
106,73,1.934110383847604,0.8813134610373989,0.9792112162594527,7,48.71361140186432
55,83,2.0571893229227514,0.23713923582209775,2.6520358799465464,69,68.48513301400901
230,19,0.4395572814307769,0.6198361202667344,0.7504833832661567,44,29.724928643285526
357,73,2.699422189985559,0.6919902103597161,2.3349927041948426,38,62.58139118491684
44,88,1.8054490275173913,0.3585369836979485,5.788432833976255,55,77.4692271382933
346,32,2.275518014565812,0.9165846706121188,3.291275385855213,33,44.41344313757853
334,47,1.3054764137472716,0.3520766173987,5.024545612593539,18,47.95341994147891
125,50,0.42975331339791034,0.9076119898933397,1.210962702424695,37,43.03664234612362
260,46,1.6233631837034657,0.8103922154664283,1.9744333032533765,50,53.373229328235965
82,29,1.6172562863582294,0.39259436281935517,5.706005444992049,47,53.59883848535068
308,87,1.4487742919474842,0.32059533302087484,2.60953543313713,11,48.0829857098231
286,86,1.2153209299889842,0.4529861681489881,4.066233706465773,65,70.95794012696341
154,37,0.9995826107433329,0.5183604530162198,5.868697285394242,19,46.102532523364786
45,73,1.6661076987932386,0.3966277411991388,3.5293326598190453,57,71.54093430653394
388,38,1.300667535264386,0.9991132390035387,2.1794027207580475,21,38.60641810281645
189,72,2.7278365193195406,0.3837218689916648,3.4257165077363427,4,51.637391083029755
359,54,0.8150255386406355,0.8645078615862856,0.8005045963197261,69,54.07998932891977
277,44,1.1671973623050087,0.3272941976723782,1.1180343075098014,41,36.45463124218731
315,15,1.1055051302189705,0.984195700220758,0.5394410777874845,15,25.85420745615358
308,60,1.703942022966297,0.3804187666264679,5.363155228607523,0,45.71470513193239
93,32,1.598272616737955,0.5373508438268738,4.192042358947775,9,34.41725329723796
158,23,1.9449771170182553,0.6468512534143251,2.1408137082301146,11,31.261662782358737
197,21,2.680004249378099,0.2962285721248747,1.7163878056401751,64,44.29744316478891
209,88,1.0845306051852817,0.8534560539832812,4.25692130636779,12,59.6043364492659
36,13,2.0626517662119914,0.4197484261446639,5.557426356319054,11,36.28959046875917
227,72,0.4600964872124407,0.6394159212813311,2.1452650007866088,58,57.695191338822816
78,78,1.0297323345606988,0.6397070485545975,2.2685751016272997,61,63.65110747700796
302,7,1.5129273471918228,0.6821125218606281,5.198323988565751,14,33.430339700877624
279,55,0.4743874923547227,0.24438878921945176,5.413566987360637,45,56.08969656860552
370,54,1.8824067053287332,0.3348950094652543,5.527201117563782,37,54.99279182742106
303,35,2.0279454601640996,0.3289537943386914,2.1123481440368215,40,36.67053786869204
159,61,2.192156115611312,0.44164100753268154,1.161719121779919,21,41.428324696606225
387,39,1.6397788116232292,0.3159313254866719,2.9199866459919814,52,46.56203736978007
176,42,1.8494671959487041,0.9375370566194319,2.126706758276496,61,56.20518404204937
